OBJECTID,LANDUSECODE,LANDUSEDESC,BASEELEV,HEIGHT,Revision,Priordraft,Area,Perimeter,ACREAGE,GlobalID,LASTUPDATE,LASTEDITOR,SHAPE_Length,SHAPE_Area
1981,CC,,,, , ,0,2158.27715548,5.18,{58282E2F-D3DD-4E25-A95A-697C83A91691},2020/02/07 21:12:12+00,Payne.Ringling,2158.27720596734,225611.519232196
1982,SF-LOW,,,, , ,0,4017.25171847,9.44,{D9E35CA9-5A58-47AC-8FF9-DA6FFB9B35B9},2020/02/07 21:12:12+00,Payne.Ringling,4017.25188603239,411192.990343571
1983,SF-LOW,,,, , ,0,1654.33766715,3.08,{BAC96CF1-C04E-4064-AE04-74AE42F46D12},2020/02/07 21:12:12+00,Payne.Ringling,1654.33845987895,134131.210183161
1984,SF-LOW,,,, , ,0,2011.35346203,4.12,{D649A976-9115-4F12-82F4-4821C471F034},2020/02/07 21:12:12+00,Payne.Ringling,2011.35411313824,179676.860331435
1985,SF-LOW,,,, , ,0,2071.7550715,3.15,{EB30E646-9107-4744-A6CA-D3B96D55CC10},2020/02/07 21:12:12+00,Payne.Ringling,2071.75510949327,137357.326433081
1986,SF-LOW,,,, , ,0,1949.52114423,3.85,{30EF2CB1-CF1A-45E1-B86A-1D388A8FCF6C},2020/02/07 21:12:12+00,Payne.Ringling,1949.52127023533,167662.852236551
1987,SF-LOW,,,, , ,0,1608.31562581,2.84,{3A664568-E1FB-45F3-BFD7-70B305E3ADA2},2020/02/07 21:12:12+00,Payne.Ringling,1608.31602277193,123619.546741484
1988,SF-VL,,,, , ,0,2558.90522829,5.23,{476D9BFE-E94B-4CEE-9C23-2C933239ACBB},2020/02/07 21:12:12+00,Payne.Ringling,2558.90505586551,227845.237701289
1989,SF-VL,,,, , ,0,11895.1489603,35.74,{3ECB5629-326B-4AAC-B604-461709645393},2020/02/07 21:12:12+00,Payne.Ringling,11895.1492052326,1556641.8565406
1990,SF-LOW,,,, , ,0,809.45226428,0.96,{2C32FDA5-6A1C-4892-AB8E-DCD2BFC650A4},2020/02/07 21:12:12+00,Payne.Ringling,809.452604324525,41786.6445745797
1991,SF-LOW,,,, , ,0,986.98080985,1.34,{F78BB219-6275-4866-8BFA-54C31FE1DD87},2020/02/07 21:12:12+00,Payne.Ringling,986.981533333239,58159.3319878059
1992,SF-LOW,,,, , ,0,1650.14781975,3.03,{AE4DFE42-686B-40E5-9EA3-D1BBAFE26E32},2020/02/07 21:12:12+00,Payne.Ringling,1650.14779802556,131933.968648347
1993,SF-LOW,,,, , ,0,1609.032107,2.84,{5BCAA4A3-7837-4CE4-A541-B62BEC089AA6},2020/02/07 21:12:12+00,Payne.Ringling,1609.03159624639,123686.044794562
1994,SF-LOW,,,, , ,0,764.94383339,0.81,{94F171F6-A975-4051-B14B-2A2FD248370A},2020/02/07 21:12:12+00,Payne.Ringling,764.94350688318,35449.5459321217
1995,SF-LOW,,,, , ,0,1034.08868871,1.48,{A7BEBC6D-ACAC-4B5F-8985-107967D6ED91},2020/02/07 21:12:12+00,Payne.Ringling,1207.17384930378,73538.0468960562
